
"PalavrasSimilares"
"exagerar;exceder;quinta-essenciar;rebuscar;refinar;requintar"
"ababalhar;babar;escumar;espumar"
"ababalhar;sujar"
"aclarar;alumiar;clarear;iluminar"
"enegrecer;escurecer"
"limpar;purgar;purificar"
"impurificar;sujar"
"apurar;clarificar;limpar;purgar;purificar"
"purgar"
"coar;destilar;insinuar-se"
"animar"
"aalmar;fornecer-se;prover-se"
"acamaradar;amigar;amistar"
"embarricar;embarrilar"
"bastar;satisfazer"
"depravar-se"
"armar-se;munir-se"
"abceder;absceder;aporismar;supurar"
"abecar;abotoar;abufelar"
"abenoar-se;benzer-se"
"conformar-se;sujeitar-se"
"abater-se;acamar-se"
"abater;acamar"
"abalar;destruir;gastar"
"esconder;fingir"
"disfarar-se;esconder-se"
"calar;esconder;guardar"
"absolver;desculpar;inocentar;isentar;perdoar"
"culpar-se"
"concordar;harmonizar"
"apaixonar;arrebatar;enlevar;entusiasmar"
"privar"
"manter-se;sustentar-se;suster-se"
"opor-se"
"apagar"
"abusar;exorbitar"
"abusar;enganar;prevaricar"
"abusar;anarquizar;desmoralizar"
"alentar-se;animar-se"
"abaixar;acocorar;agachar"
"ceder"
"acaboclar-se;acaiarar-se;acaipirar-se;amatutar-se"
"abeirar-se;aproximar-se;beirar"
"acalentar;aconchegar;aninhar;conchegar"
"acalentar-se"
"enobrecer;enricar;enriquecer"
"abandalhar;enxovalhar;sujar"
"avelhentar"
"considerar;estimar;prezar"
"destranar"
"entremostrar;esboar"
"acanhar;embaraar;tolher"
"abraar-se;apertar-se;cingir-se"
"avergonhar;avexar;envergonhar;vexar"
"escravizar;esmagar;oprimir;tiranizar"
"proibir;proscrever"
"paralisar;tolher"
"autorizar;permitir"
"apor;juntar;justapor"
"unir-se"
"defrontar-se;deparar-se;encontrar-se;topar-se"
"confrontar-se;defrontar-se;enfrentar-se"
"maltratar"
"acelerar;adiantar;apressar;estugar;picar;precipitar"
"abrigar-se;acoitar-se;acolher-se;asilar-se"
"agentar-se;conservar-se;conter-se;manter-se"
"apanhar;guardar;recolher"
"encolher-se;encurtar-se"
"alongar-se;estender-se;estirar-se"
"dobrar-se;enrolar-se"
"distender;espalhar;estender"
"alargar;larguear"
"alquebrar;aquebrantar;cansar;debilitar;deprimir;derrear;enfraquecer;extenuar;prostrar;quebrantar"
"acurvar;alquebrar;curvar;prostrar;vergar"
"abaixar;baixar"
"acrescentar;aumentar;elevar"
"altear;aumentar;avantajar;avultar;crescer;subir"
"elevar;promover"
"erguer;sobrelevar"
"alevantar-se;levantar-se;reabilitar-se;reerguer-se"
"alvitrar;aventar;lembrar;levantar;propor;sugerir;suscitar"
"recolher;retirar;sacar;tirar;tomar"
"encerrar;terminar"
"alevantar-se;desencadear-se"
"acrescentar;agigantar;ampliar;aumentar;avultar;engordar;engrandecer"
"ascender;avultar;chegar;montar;subir"
"arborizar"
"alevantar-se;hastear-se;iar-se;levantar-se"
"desfraldar-se;hastear-se;iar-se"
"baratinar-se;desacomodar-se;desarranjar-se;perturbar-se;transtornar-se"
"alterar;desarranjar;embaraar;estorvar"
"afobar-se;atarantar-se;atrapalhar-se;perturbar-se"
"adulterar-se;alterar-se;contrafazer-se;falsificar-se;sofisticar-se"
"contrafazer-se;reprimir-se"
"falsificar"
"arguciar;sofismar;sofisticar"
"desviar;mudar"
"discrepar;variar"
"desestimular;desmotivar"
"animar;estimular;incentivar"
"afear;afeiar;desfear;desfigurar;deturpar;enfear"
"embelezar"
"argumentar;concluir;deduzir"
"alegar;argir;argumentar"
"alugar;locar"
"arrepiar;arrupiar;estremecer;horripilar;horrorizar"
"manear;manejar;manusear;menear;tratar"
"arrecear;recear;respeitar;temer;tremer"
"arrecear;arrecear-se;recear-se;temer-se;tremer-se"
"aclarar-se;alumbrar-se;alumiar-se;esclarecer-se;iluminar-se"
"alvejar;mirar"
"alvejar;atingir"
"adormecer;arrefecer;arrefentar;esfriar;refecer"
"adotar;eleger;escolher;preferir;tomar"
"adotar;aprovar;outorgar"
"aceitar;admitir;adotar;receber;reconhecer;tomar"
"apreender;capturar;tomar"
"apreender;conquistar;tomar"
"empregar;gastar;tomar;usar;utilizar"
"comer;tomar"
"seguir;tomar"
"avaliar;calcular;medir;tomar"
"abraar-se;juntar-se;unir-se"
"anteceder;antepassar;preceder"
"conceder;deixar;facilitar;facultar;outorgar;permitir;possibilitar"
"confessar-se;outorgar-se;reconhecer-se"
"aforar-se;apropriar-se;arrogar-se;atribuir-se;avocar-se"
"admitir;consentir;permitir;tolerar"
"abonar;acreditar;afianar;creditar;garantir"
"abonar;aprovar;confirmar"
"abonar;qualificar"
"abonar-se;gabar-se;orgulhar-se"
"abonar-se;apadrinhar-se;autorizar-se"
"acusar;confessar;declarar;revelar"
"admitir;confessar;declarar;reconhecer"
"confessar-se;declarar-se;reconhecer-se"
"examinar;explorar;observar;reconhecer"
"informar;instruir"
"adscrever-se;adstringir-se;limitar-se;reduzir-se;restringir-se"
"desviar;forar;torcer"
"atrair;converter;reduzir"
"acondimentar;adubar;assazoar;assazonar;condimentar;sazonar;temperar"
"adubar;estercar;estrumar"
"defumar;incensar;perfumar;turibular;turiferar"
"adunar;subordinar"
"ardejar;arder;escaldar;queimar"
"fundir-se;queimar-se"
"atirar;disparar;queimar;tirar"
"amelindrar-se;irritar-se;melindrar-se;queimar-se;zangar-se"
"acirrar-se;esquentar-se"
"aviltar-se;rebaixar-se"
"desajustar;desregular"
"acomodar-se;ajustar-se;chegar-se;conformar-se"
"comerciar;contratar;negociar;tratar"
"calhar;encaixar;encaixar-se"
"bater;coincidir;combinar;concordar"
"inscrever-se;matricular-se"
"assentar;sentar"
"abancar-se;assentar-se;sentar-se"
"assentar;determinar;estipular;marcar"
"ajustar-se;assentar"
"adstringir;subjugar;submeter"
"adverbar;anotar;averbar;registar;registrar"
"apoiar;defender;propugnar"
"agitar-se;bater-se;combater-se;debater-se"
"admoestar;advertir;amoestar;avisar"
"apetitar;apimentar;atentar;estimular;excitar;tentar"
"atender;considerar;examinar;observar"
"minutar;notar;rascunhar"
"cronometrar;minutar"
"estranhar;notar"
"espiar-se;observar-se;vigiar-se"
"observar;olhar;reparar"
"assistir;presenciar;testemunhar;ver;verificar"
"conhecer;ver"
"ler;ver"
"assistir;examinar;ver"
"conviver;freqentar;versar"
"compreender-se;entender-se;perceber-se;reconhecer-se;ver-se"
"amparar;auxiliar;defender;proteger;socorrer"
"acautelar-se;adargar-se;afortalezar-se;anteparar-se;defender-se;proteger-se;refugiar-se;resguardar-se;velar-se"
"apetrechar-se;armar-se;equipar-se;petrechar-se;premunir-se;preparar-se;prover-se"
"preparar;prevenir"
"dispor;influenciar;prevenir"
"advogar;interceder"
"defender-se;resistir"
"edificar;instruir;sustentar"
"desnutrir-se"
"adminicular;ajudar;auxiliar;sustentar"
"afaimar;afomear;esfaimar;esfomear"
"aclamar-se;eleger-se;proclamar-se"
"afamar;celebrizar;notabilizar"
"afamilhar-se;afamiliar-se;casar-se"
"afainar-se;afanar-se;azafamar-se"
"arrebatar;raptar;roubar;seqestrar"
"esquivar-se;furtar-se;roubar-se"
"laborar;labutar;levar;suportar;viver"
"academiar;academicizar"
"acarrear;acarretar;carrear"
"ocasionar-se;originar-se"
"acumular-se;ajuntar-se;amontoar-se"
"acrescentar-se;acrescer-se;adicionar-se;ajuntar-se;aumentar-se"
"cumprir;preencher;realizar"
"completar;cumprir"
"acondicionar;arrecadar;guardar;preservar"
"conservar;guardar;manter;reter;segurar"
"cumprir;guardar;praticar"
"abster-se;guardar-se"
"esperar;guardar-se;reservar-se"
"deixar;poupar;respeitar"
"admitir;aturar;respeitar;suportar"
"obedecer;render-se"
"acavalar-se;amontoar-se;sobrepor-se;superpor-se"
"acerar;avigorar;azeirar;azerar;robustecer"
"aceder;conformar-se"
"adicionar;somar"
"somar;totalizar"
"aprovar;assentir;permitir"
"intransigir"
"abaixar;baixar;descer;pender"
"alevantar"
"desigualar;desnivelar"
"abaixar;encaminhar-se"
"decair;descer"
"apanhar;embarcar;pegar;tomar"
"abaixar;baixar;baixar-se;descer"
"abaixar-se;baixar-se;inclinar-se"
"encaminhar;enderear;enviar;estradear"
"abalar-se;ceder;mover-se"
"aceitar"
"estimar-se;prezar-se"
"digerir;gastar"
"agitar;propor;suscitar;ventilar"
"ocupar-se;preocupar-se"
"abalar-se;demover-se;dispor-se"
"assaltar;assaltear;assediar"
"atacar;iniciar"
"acusar;agredir;atacar;hostilizar"
"agredir;atacar"
"adiantar-se;andar;avanar;mover-se"
"apropriar-se;avanar"
"adiantar-se;avanar"
"empossar-se;investir-se"
"empossar;investir"
"afastar-se;arredar;arredar-se;recuar"
"ferrar;ferretear;marcar"
"aprazar;assinar"
"abalofar-se;afofar-se"
"abalroar-se;balroar-se;chocar-se;colidir-se;embater-se;encontrar-se;tocar-se"
"embater-se;esbarrar-se"
"abanar;abanicar;refrescar;ventilar"
"abanar-se;abanicar-se;refrescar-se;ventilar-se"
"mover;saracotear"
"abandonar;abjurar;abnegar;desistir;renunciar"
"abandonar;deixar;entregar"
"abandonar-se;entregar-se;render-se"
"abjurar;apostasiar;apostatar;arrenegar;perjurar;renegar;renunciar"
"desertar;fugir;retirar-se"
"deixar;pospor"
"dar;deixar;produzir"
"constituir;deixar;instituir;nomear"
"deixar;separar-se"
"consentir;deixar;permitir"
"deixar;esperar"
"largar;retirar-se"
"cassar;privar;retirar"
"arrear;mobilhar;mobiliar"
"largar;libertar"
"atorar;ir-se;largar;partir;torar"
"impelir;lanar;largar"
"deitar-se;largar-se"
"abarbar"
"abarbar;sobrecarregar"
"abastonar-se;apoiar-se;arrimar-se;escorar-se;firmar-se"
"espionar;sondar"
"abemolar-se;adamar-se;adengar-se;adocicar-se;afetar-se;amulherar-se;amulherengar-se;efeminar-se;efeminizar-se"
"abestalhar-se;bestificar-se"
"argamassar"
"cimentar-se;consolidar-se;firmar-se"
"abafar;afogar;asfixiar;sufocar"
"restabelecer;restaurar;validar"
"repatriar"
"ablocar;alugar;arrendar"
"arrendar;rendar;rendilhar"
"cobiar;devorar"
"deglutir;engolir;ingerir"
"acreditar;engolir;tragar"
"expirar"
"desacreditar-se;difamar-se;infamar-se"
"boiar;comer"
"abolachar;aboleimar;achatar;apalmar;espalmar"
"eliminar-se;matar-se;suicidar-se"
"condenar;proscrever;sentenciar"
"desinchar-se;esvaziar-se"
"amar;copular"
"refluir;vazar"
"retirar-se;sair;vazar"
"arrancar;vazar"
"abordar;tratar;versar"
"curar;medicar;tratar"
"cuidar-se;medicar-se;tratar-se"
"desnutrir"
"praticar;tratar;usar"
"alcunhar;chamar;tratar"
"compulsar;estudar;versar"
"considerar;pesar;ponderar;versar"
"abrancar;embrancar"
"excluir"
"abranger-se;compreender-se;encerrar-se;incluir-se"
"alongar;prolongar"
"desajustar-se"
"arranjar-se;ataviar-se;preparar-se"
"arrumar;estivar"
"desabituar-se;desacostumar-se"
"aconchegar;ajeitar;compor;conchegar"
"desajeitar;descompor"
"acondicionar;condicionar;regular"
"desapropriar-se"
"desacelerar"
"esquivar;eximir;poupar;subtrair"
"esquivar-se;eximir-se;poupar-se;subtrair-se"
"aconfradar;aparceirar;emparceirar;irmanar"
"abandear;aconfradar"
"lembrar;recomendar"
"ensinar;indicar"
"acorrentar-se;algemar-se;atar-se;obrigar-se;prender-se;submeter-se;sujeitar-se"
"afeioar;cativar;encadear"
"coordenar-se;encadear-se;ligar-se"
"descarregar;desobstruir;libertar"
"premiar"
"acostar;aproximar;colar;coser;encostar;unir"
"acostar;anexar;juntar"
"cerrar;encostar;fechar"
"abandonar;aposentar;encostar"
"articular-se;associar-se;juntar-se;unir-se"
"acotar;avaliar;calcular;cotar;estimar"
"desabrigar;desacoitar;desagasalhar"
"acovar;aterrar;cravar;encovar;enterrar;sepultar;soterrar;subterrar"
"enterrar;isolar"
"cravar-se;fixar-se"
"afixar;firmar;fixar;pregar;prender;segurar"
"aprazar;determinar;marcar"
"apostolar;apostolizar;evangelizar;pregar"
"preconizar;pregar"
"acreditar;confiar;crer;fiar"
"desconfiar;descrer;duvidar"
"estirar;fiar;trefilar"
"criminar-se;incriminar-se;inculpar-se"
"acidificar;acrimoniar;azedar"
"acendrar;acinzentar"
"apurar;calcular;contar"
"purificar;santificar"
"exagerar-se;exceder-se;requintar-se"
"acometer;afetar;contagiar;contaminar"
"acudir;atender;obedecer"
"divergir"
"atender;deferir"
"atender;despachar;servir"
"condizer;responder"
"contrapor-se;opor-se;responder"
"defender"
"ameaar;pairar"
"aflorar;pairar"
"enfezar-se;engrossar;irritar-se"
"copiar;ler"
"carregar;pender;tender"
"aderir;ajustar-se;colar"
"afetuar-se;grudar-se"
"adiantar-se;avantajar-se;exceder-se"
"adiantar;compensar;resolver;servir;valer"
"adiantar-se;antecipar-se;precipitar-se"
"abonar-se;adinheirar-se;endinheirar-se"
"adjetivar;qualificar"
"chamar-se;classificar-se;qualificar-se"
"conjurar;evocar;invocar"
"adjutorar;assessorar;assistir;auxiliar"
"administrar;aplicar;ministrar"
"administrar;governar;reger"
"comandar;conduzir;dirigir;reger"
"reger;subordinar"
"acionar;comandar;manipular;manobrar;operar"
"adnumerar;enumerar;enunciar;numerar"
"adnumerar;contar;enumerar"
"contar;incluir;numerar"
"adoecer;adoentar"
"desadorar"
"aduanar;alfandegar"
"desmoronar-se;esbarrondar-se;esboroar-se;esfarelar-se;esfarinhar-se"
"compor;constituir;formar"
"diplomar;formar"
"diplomar-se;formar-se"
"deformar-se"
"aferir;afilar"
"afermentar;fermentar;levedar"
"aferrar;segurar"
"aferrar;ancorar;aportar;atracar"
"largar-se"
"aportar;desembarcar"
"cortar-se;ferir-se"
"ferir;quebrar;romper"
"morder;picar"
"abonar-se;afianar-se"
"aflar;inspirar"
"bafejar;inspirar;transmitir"
"assoprar;soprar"
"afleumar;apachorrar"
"afleumar-se;apachorrar-se"
"cavar;revolver"
"revirar;revolver"
"girar;revolver"
"antegostar;antegozar;prelibar"
"alianar-se;aliar-se;casar-se"
"esgoelar-se;goelar-se"
"escravizar"
"escravizar-se"
"arrancar;puxar;sacar;tirar"
"atrair;chamar;tirar"
"descalar;tirar"
"aproveitar;apurar;escolher;tirar"
"desviar;tirar"
"reproduzir;retratar;tirar"
"arrecadar;cobrar;pedir;tirar"
"extrair;produzir;tirar"
"excetuar-se;excluir-se;isentar-se"
"afortunar-se;bem-aventurar-se;felicitar-se"
"congratular;cumprimentar;felicitar;parabenizar"
"aplaudir-se;congratular-se;felicitar-se;gratular"
"aliviar;reanimar;refrescar;restaurar"
"reforar;refrescar;socorrer"
"afretar;alugar;fretar"
"abrasar;acender;atear"
"alevantar-se;levantar-se"
"agadanhar-se;agafanhar-se;agatanhar-se;arranhar-se"
"agaiolar;engaiolar"
"agarrar-se;apegar-se"
"alcanar;apanhar"
"apanhar;caar;pegar"
"apanhar;buscar;pegar"
"abandidar-se;agatunar-se"
"agenciar;contratar;recrutar"
"agiotar;especular;rebater"
"agradar-se;enamorar-se;encantar-se;namorar-se"
"cumprir-se;realizar-se;satisfazer-se"
"enquadrar-se;perfilar-se;quadrar-se"
"desinteressar"
"agradecer;gratificar;gratular"
"agravar;sobrecarregar"
"afetar-se;lesar-se;ofender-se;prejudicar-se"
"ofender;pecar"
"agrumelar-se;agrumular-se;coagular-se;coalhar-se"
"solidar-se;solidificar-se"
"banhar;molhar"
"irrigar;regar"
"empanar;velar"
"agentar-se;arranjar-se;haver-se"
"ajarretar;impossibilitar;jarretar"
"castrar-se;mutilar-se"
"ajaular;enjaular"
"ecarcerar-se;enclausurar-se;enjaular-se;prender-se;trancafiar-se"
"ajoelhar;genuflectir;genufletir"
"ajoelhar-se;genuflectir-se;genufletir-se"
"amarrar;atar"
"alagar;anaguar;inundar;submergir"
"alagar-se;inundar-se"
"banhar;inundar;molhar;umedecer"
"alambrar;aramar"
"alancear;lancear"
"adminicular;ministrar;propinar"
"alargar-se;ampliar-se;aumentar-se;desenvolver-se"
"alargar-se;dilatar-se;distender-se;expandir-se"
"sobressaltar;transpor"
"acamar;deitar"
"alcalinar;alcalinizar;alcalizar"
"alcanar;chegar;comparar-se;igualar-se;igualizar-se"
"aparecer;chegar;vir"
"arquear;arquejar"
"alegrar-se;viar-se;vicejar-se"
"aleitar;amamentar;lactar"
"lactar;mamar"
"alemanizar;alemoar;germanizar"
"alentecer;alerdar"
"aligeirar;apressar;atropelar"
"alevantar;levantar"
"algazarrar;algazarrear"
"alhanar;facilitar"
"desigualar-se;desnivelar-se"
"resolver;sarar"
"aliar-se;confederar-se"
"alicerar;cimentar"
"obrigar-se;onerar-se;sujeitar-se"
"obrigar;onerar;sujeitar"
"descarregar-se;esvaziar-se"
"carregar-se"
"descarregar;desfechar"
"descarregar;incidir"
"alimpar;enxugar;limpar"
"alimpar-se;enxugar-se;limpar-se"
"avaliar-se;calcular-se;medir-se;tomar-se"
"medir;percorrer"
"alivelar;anivelar;graduar;nivelar;proporcionar"
"escandir;medir"
"competir;disputar;ombrear;rivalizar"
"alinhavar;aprontar;preparar"
"predispor;preparar"
"elaborar;preparar"
"aprontar;arrumar;vestir"
"aprontar;armar"
"alistar;arrolar;engajar;recrutar"
"alistar-se;engajar-se;recrutar-se"
"aspirar;cheirar"
"dignar-se;querer"
"ameaar;querer"
"caldear;mesclar;mestiar;miscigenar"
"caldear-se;mesclar-se;mestiar-se;miscigenar-se"
"amalgamar;combinar;fundir"
"amalgamar-se;combinar-se;fundir-se"
"aboletar;alojar;aquartelar"
"aboletar-se;alojar-se;aquartelar-se"
"alucinar-se;deslumbrar-se"
"alunar;alunissar;alunizar"
"raiar;riscar"
"amachonar;amachorrar;masculinizar"
"amachonar-se;amachorrar-se;masculinizar-se"
"amarfanhar-se;amarrotar-se;amassar"
"desencaracolar;desencrespar"
"arraigar-se;arreigar-se;cravar-se;entranhar-se;introduzir-se"
"amontanhar;avolumar-se"
"moralizar"
"amoralizar"
"discorrer;discursar;moralizar"
"explorar;procurar"
"agravar-se;aumentar-se;intensificar-se"
"amostrar;argir;demonstrar;indicar;mostrar;provar"
"dizer;significar"
"significar;traduzir-se"
"fantasiar;fingir"
"exibir;representar"
"exibir;projetar"
"anaar;bater;misturar;revolver"
"abanar;agitar;bater"
"anarquizar-se;desorganizar-se"
"anatematizar;excomungar"
"anatomizar;dissecar"
"andar;existir;viver"
"andar;estar"
"moderar-se;regrar-se;regular-se"
"andar;caminhar;marchar"
"ameaar;anunciar"
"ameaar;indicar"
"acrianar-se;ameninar-se"
"amentar;encomendar;responsar"
"lembrar-se;recordar-se;relembrar-se;rememorar-se"
"distrair-se;esquecer"
"desapiedar-se;despiedar-se"
"amarar;amerissar"
"acomodar-se;amesendar-se"
"amesendar-se;apoltronar-se;refestelar-se;repimpar-se;repoltrear-se"
"amocambar;amocar;aquilombar"
"amoderar;dirigir;moderar;reger"
"amoiriscar;amouriscar"
"amoixar;amouxar"
"amolecar-se;ridicularizar-se;ridiculizar-se"
"amoriscar-se;amouriscar-se"
"amorsegar;mordicar;mordiscar;morsegar"
"descanar"
"atiar;avivar;azougar;espertar"
"analisar;psicanalisar"
"aliciar;angariar;atrair;recrutar"
"anglicizar;anglizar;inglesar"
"anichar;aninhar"
"anilar;azular;azulear;azulecer;azulejar"
"animar;animizar;vivificar"
"anojar-se;enlutar-se"
"anortear-se;guiar-se;nortear-se;orientar-se"
"desgovernar"
"aconselhar;guiar;orientar"
"cientificar-se;informar-se;inteirar-se;noticiar-se;orientar-se"
"antealvorar;madrugar;matinar"
"anteceder;avantajar;exceder;preceder"
"antedatar"
"ps-datar"
"antejulgar;prejulgar"
"contrastar;opor"
"anunciar;publicar"
"comunicar;conferenciar;falar"
"comunicar;comunicar-se;corresponder-se"
"apapoilar;apapoular"
"aparamentar;paramentar"
"aparecer;publicar-se;sair"
"andar;caminhar;vir"
"ir"
"apaulistanizar;apaulistar"
"apedrar;empedernecer;empedernir;empedrar;empedrenir"
"apedrar;apedrejar;lapidar"
"empedernecer;empedernir;empedrenir;lapidificar;petrificar"
"afeioar-se;apegar-se;dedicar-se"
"deixar;largar"
"chamar;trazer"
"chamar;invocar"
"acordar;chamar;despertar"
"atrair;chamar;exigir;reclamar"
"atrair;avocar;chamar"
"chamar-se;denominar-se"
"apenar;intimar"
"piorar"
